id,name,start_point,size,plane_id,include_points
161,Small Form Variants,65104,32,0,0
162,Arabic Presentation Forms-B,65136,144,0,1
163,Halfwidth and Fullwidth Forms,65280,240,0,0
164,Specials,65520,16,0,0
165,Linear B Syllabary,65536,128,1,0
166,Linear B Ideograms,65664,128,1,0
167,Aegean Numbers,65792,64,1,0
168,Ancient Greek Numbers,65856,80,1,0
169,Ancient Symbols,65936,64,1,0
170,Phaistos Disc,66000,48,1,0
171,Lycian,66176,32,1,1
172,Carian,66208,64,1,0
173,Coptic Epact Numbers,66272,32,1,0
174,Old Italic,66304,48,1,1
175,Gothic,66352,32,1,1
176,Old Permic,66384,48,1,0
177,Ugaritic,66432,32,1,1
178,Old Persian,66464,64,1,1
179,Deseret,66560,80,1,0
180,Shavian,66640,48,1,0
181,Osmanya,66688,48,1,1
182,Osage,66736,80,1,0
183,Elbasan,66816,48,1,0
184,Caucasian Albanian,66864,64,1,1
185,Vithkuqi,66928,80,1,0
186,Linear A,67072,384,1,0
187,Latin Extended-F,67456,64,1,0
188,Cypriot Syllabary,67584,64,1,0
189,Imperial Aramaic,67648,32,1,1
190,Palmyrene,67680,32,1,1
191,Nabataean,67712,48,1,1
192,Hatran,67808,32,1,0
193,Phoenician,67840,32,1,1
194,Lydian,67872,32,1,1
195,Meroitic Hieroglyphs,67968,32,1,0
196,Meroitic Cursive,68000,96,1,0
197,Kharoshthi,68096,96,1,0
198,Old South Arabian,68192,32,1,1
199,Old North Arabian,68224,32,1,0
200,Manichaean,68288,64,1,1
201,Avestan,68352,64,1,1
202,Inscriptional Parthian,68416,32,1,1
203,Inscriptional Pahlavi,68448,32,1,1
204,Psalter Pahlavi,68480,48,1,1
205,Old Turkic,68608,80,1,1
206,Old Hungarian,68736,128,1,1
207,Hanifi Rohingya,68864,64,1,1
208,Rumi Numeral Symbols,69216,32,1,0
209,Yezidi,69248,64,1,0
210,Old Sogdian,69376,48,1,1
211,Sogdian,69424,64,1,1
212,Old Uyghur,69488,64,1,1
213,Chorasmian,69552,48,1,0
214,Elymaic,69600,32,1,1
215,Brahmi,69632,128,1,1
216,Kaithi,69760,80,1,0
217,Sora Sompeng,69840,48,1,0
218,Chakma,69888,80,1,1
219,Mahajani,69968,48,1,1
220,Sharada,70016,96,1,1
221,Sinhala Archaic Numbers,70112,32,1,0
222,Khojki,70144,80,1,1
223,Multani,70272,48,1,1
224,Khudawadi,70320,80,1,1
225,Grantha,70400,128,1,1
226,Newa,70656,128,1,1
227,Tirhuta,70784,96,1,1
228,Siddham,71040,128,1,1
229,Modi,71168,96,1,1
230,Mongolian Supplement,71264,32,1,0
231,Takri,71296,80,1,1
232,Ahom,71424,80,1,1
233,Dogra,71680,80,1,1
234,Warang Citi,71840,96,1,0
235,Dives Akuru,71936,96,1,1
236,Nandinagari,72096,96,1,1
237,Zanabazar Square,72192,80,1,0
238,Soyombo,72272,96,1,0
239,Unified Canadian Aboriginal Syllabics Extended-A,72368,16,1,0
240,Pau Cin Hau,72384,64,1,0
241,Bhaiksuki,72704,112,1,1
242,Marchen,72816,80,1,0
243,Masaram Gondi,72960,96,1,0
244,Gunjala Gondi,73056,80,1,0
245,Makasar,73440,32,1,0
246,Lisu Supplement,73648,16,1,0
247,Tamil Supplement,73664,64,1,0
248,Cuneiform,73728,1024,1,0
249,Cuneiform Numbers and Punctuation,74752,128,1,0
250,Early Dynastic Cuneiform,74880,208,1,0
251,Cypro-Minoan,77712,112,1,0
252,Egyptian Hieroglyphs,77824,1072,1,1
253,Egyptian Hieroglyph Format Controls,78896,16,1,0
254,Anatolian Hieroglyphs,82944,640,1,1
255,Bamum Supplement,92160,576,1,0
256,Mro,92736,48,1,0
257,Tangsa,92784,96,1,0
258,Bassa Vah,92880,48,1,0
259,Pahawh Hmong,92928,144,1,0
260,Medefaidrin,93760,96,1,0
261,Miao,93952,160,1,0
262,Ideographic Symbols and Punctuation,94176,32,1,0
263,Tangut,94208,6144,1,0
264,Tangut Components,100352,768,1,0
265,Khitan Small Script,101120,512,1,0
266,Tangut Supplement,101632,128,1,0
267,Kana Extended-B,110576,16,1,0
268,Kana Supplement,110592,256,1,0
269,Kana Extended-A,110848,48,1,0
270,Small Kana Extension,110896,64,1,0
271,Nushu,110960,400,1,0
272,Duployan,113664,160,1,0
273,Shorthand Format Controls,113824,16,1,0
274,Znamenny Musical Notation,118528,208,1,0
275,Byzantine Musical Symbols,118784,256,1,0
276,Musical Symbols,119040,256,1,0
277,Ancient Greek Musical Notation,119296,80,1,0
278,Mayan Numerals,119520,32,1,0
279,Tai Xuan Jing Symbols,119552,96,1,0
280,Counting Rod Numerals,119648,32,1,0
281,Mathematical Alphanumeric Symbols,119808,1024,1,0
282,Sutton SignWriting,120832,688,1,0
283,Latin Extended-G,122624,256,1,0
284,Glagolitic Supplement,122880,48,1,0
285,Nyiakeng Puachue Hmong,123136,80,1,0
286,Toto,123536,48,1,0
287,Wancho,123584,64,1,0
288,Ethiopic Extended-B,124896,32,1,0
289,Mende Kikakui,124928,224,1,0
290,Adlam,125184,96,1,1
291,Indic Siyaq Numbers,126064,80,1,0
292,Ottoman Siyaq Numbers,126208,80,1,0
293,Arabic Mathematical Alphabetic Symbols,126464,256,1,0
294,Mahjong Tiles,126976,48,1,0
295,Domino Tiles,127024,112,1,0
296,Playing Cards,127136,96,1,0
297,Enclosed Alphanumeric Supplement,127232,256,1,0
298,Enclosed Ideographic Supplement,127488,256,1,0
299,Miscellaneous Symbols and Pictographs,127744,768,1,0
300,Emoticons,128512,80,1,0
301,Ornamental Dingbats,128592,48,1,0
302,Transport and Map Symbols,128640,128,1,0
303,Alchemical Symbols,128768,128,1,0
304,Geometric Shapes Extended,128896,128,1,0
305,Supplemental Arrows-C,129024,256,1,0
306,Supplemental Symbols and Pictographs,129280,256,1,0
307,Chess Symbols,129536,112,1,0
308,Symbols and Pictographs Extended-A,129648,144,1,0
309,Symbols for Legacy Computing,129792,256,1,0
310,CJK Unified Ideographs Extension B,131072,42720,2,0
311,CJK Unified Ideographs Extension C,173824,4160,2,0
312,CJK Unified Ideographs Extension D,177984,224,2,0
313,CJK Unified Ideographs Extension E,178208,5776,2,0
314,CJK Unified Ideographs Extension F,183984,7488,2,0
315,CJK Compatibility Ideographs Supplement,194560,544,2,0
316,CJK Unified Ideographs Extension G,196608,4944,3,0
317,Tags,917504,128,14,0
318,Variation Selectors Supplement,917760,240,14,0
319,Supplementary Private Use Area-A,983040,65536,15,0
320,Supplementary Private Use Area-B,1048576,65536,16,0
