unicode_,name,script,diacritic,name_meaning,english_name,origin,transliteration,ordering,variants
𓁅,,Egyptian hieroglyphs,0,,A60: man sowing seeds,,,Gardiner's sign list order: 60,
𓁆,,Egyptian hieroglyphs,0,,A61: man looking over his shoulder,,,Gardiner's sign list order: 61,
𓁇,,Egyptian hieroglyphs,0,,A62: Asiatic,,,Gardiner's sign list order: 62,
𓁈,,Egyptian hieroglyphs,0,,A63: king on throne holding staff,,,Gardiner's sign list order: 63,
𓁉,,Egyptian hieroglyphs,0,,A64: man sitting on heels holding forward cup,,,Gardiner's sign list order: 64,
𓁊,,Egyptian hieroglyphs,0,,A65: man wearing tunic with fringes and holding mace,,,Gardiner's sign list order: 65,
𓁋,,Egyptian hieroglyphs,0,,A66: man holding sistrum,,,Gardiner's sign list order: 66,
𓁌,,Egyptian hieroglyphs,0,,A67: dwarf,,,Gardiner's sign list order: 67,
𓁍,,Egyptian hieroglyphs,0,,A68: man holding up knife,,,Gardiner's sign list order: 68,
𓁎,,Egyptian hieroglyphs,0,,A69: seated man with raised right arm and left arm hanging down,,,Gardiner's sign list order: 69,
𓁏,,Egyptian hieroglyphs,0,,A70: seated man with raised arms,,,Gardiner's sign list order: 70,
𓁐,,Egyptian hieroglyphs,0,,B1: seated woman,,,Gardiner's sign list order: 71,
𓁑,,Egyptian hieroglyphs,0,,B2: pregnant woman,,,Gardiner's sign list order: 72,
𓁒,,Egyptian hieroglyphs,0,,B3: woman giving birth,,,Gardiner's sign list order: 73,
𓁓,,Egyptian hieroglyphs,0,,B4: combination of woman giving birth and three skins tied together,,,Gardiner's sign list order: 74,
𓁔,,Egyptian hieroglyphs,0,,B5: woman suckling child,,,Gardiner's sign list order: 75,
𓁖,,Egyptian hieroglyphs,0,,B6: woman on chair with child on lap,,,Gardiner's sign list order: 76,
𓁗,,Egyptian hieroglyphs,0,,B7: queen wearing diadem and holding flower,𓁐:1,,Gardiner's sign list order: 77,
𓁘,,Egyptian hieroglyphs,0,,B8: woman holding lotus flower,,,Gardiner's sign list order: 78,
𓁙,,Egyptian hieroglyphs,0,,B9: woman holding sistrum,,,Gardiner's sign list order: 79,
𓁚,,Egyptian hieroglyphs,0,,C1: god with sun-disk and uraeus,𓀭:1,,Gardiner's sign list order: 80,
𓁛,,Egyptian hieroglyphs,0,,C2: god with falcon head and sun-disk holding ankh,𓀭:1,,Gardiner's sign list order: 81,
𓁟,,Egyptian hieroglyphs,0,,C3: god with ibis head,𓀭:1,,Gardiner's sign list order: 82,
𓁠,,Egyptian hieroglyphs,0,,C4: god with ram head,𓀭:1,,Gardiner's sign list order: 83,
𓁡,,Egyptian hieroglyphs,0,,C5: god with ram head holding ankh,𓁠:1,,Gardiner's sign list order: 84,
𓁢,,Egyptian hieroglyphs,0,,C6: god with jackal head,𓀭:1,,Gardiner's sign list order: 85,
𓁣,,Egyptian hieroglyphs,0,,C7: god with Set-animal head,𓀭:1,,Gardiner's sign list order: 86,
𓁤,,Egyptian hieroglyphs,0,,"C8: ithyphallic god with two plumes, uplifted arm and flagellum",,,Gardiner's sign list order: 87,
𓁥,,Egyptian hieroglyphs,0,,C9: goddess with horned sun-disk,𓁐:1,,Gardiner's sign list order: 88,
𓁦,,Egyptian hieroglyphs,0,,C10: goddess with feather,𓁐:1,,Gardiner's sign list order: 89,
𓁨,,Egyptian hieroglyphs,0,,C11: god with arms supporting the sky and palm branch on head,,,Gardiner's sign list order: 90,
𓁩,,Egyptian hieroglyphs,0,,C12: god with two plumes and scepter,,,Gardiner's sign list order: 91,
𓁪,,Egyptian hieroglyphs,0,,C13: C12 reversed,𓁩:1,,Gardiner's sign list order: 92,
𓁫,,Egyptian hieroglyphs,0,,C14: god with two plumes and scimitar,,,Gardiner's sign list order: 93,
𓁬,,Egyptian hieroglyphs,0,,C15: C14 reversed,𓁫:1,,Gardiner's sign list order: 94,
𓁭,,Egyptian hieroglyphs,0,,C16: god wearing red crown with ankh,,,Gardiner's sign list order: 95,
𓁮,,Egyptian hieroglyphs,0,,C17: god with falcon head and two plumes,,,Gardiner's sign list order: 96,
𓁯,,Egyptian hieroglyphs,0,,C18: squatting god,,,Gardiner's sign list order: 97,
𓁰,,Egyptian hieroglyphs,0,,C19: mummy-shaped god,,,Gardiner's sign list order: 98,
𓁱,,Egyptian hieroglyphs,0,,C20: mummy-shaped god in shrine,,,Gardiner's sign list order: 99,
𓁲,,Egyptian hieroglyphs,0,,C21: Bes,,,Gardiner's sign list order: 100,
𓁳,,Egyptian hieroglyphs,0,,C22: god with falcon head and moon,𓀭:1,,Gardiner's sign list order: 101,
𓁴,,Egyptian hieroglyphs,0,,C23: godess with feline head and sun with uraeus,𓁐:1,,Gardiner's sign list order: 102,
𓁵,,Egyptian hieroglyphs,0,,C24: god wearing red crown with scepter,𓀭:1,,Gardiner's sign list order: 103,
𓁶,,Egyptian hieroglyphs,0,,D1: head,,,Gardiner's sign list order: 104,
𓁷,,Egyptian hieroglyphs,0,,D2: face,,,Gardiner's sign list order: 105,
𓁸,,Egyptian hieroglyphs,0,,D3: hair,,,Gardiner's sign list order: 106,
𓁹,,Egyptian hieroglyphs,0,,D4: eye,,,Gardiner's sign list order: 107,
𓁺,,Egyptian hieroglyphs,0,,D5: eye touched up with paint,𓁹:1,,Gardiner's sign list order: 108,
𓁻,,Egyptian hieroglyphs,0,,D6: eye with painted upper lid,𓁹:1,,Gardiner's sign list order: 109,
𓁼,,Egyptian hieroglyphs,0,,D7: eye with painted lower lid,𓁹:1,,Gardiner's sign list order: 110,
𓁽,,Egyptian hieroglyphs,0,,D8: eye enclosed in sandy tract,𓁹:1,,Gardiner's sign list order: 111,
𓁿,,Egyptian hieroglyphs,0,,D9: eye with flowing tears,𓁹:1,,Gardiner's sign list order: 112,
𓂀,,Egyptian hieroglyphs,0,,D10: eye of Horus,𓁹:1,,Gardiner's sign list order: 113,
𓂁,,Egyptian hieroglyphs,0,,D11: left part of the eye of Horus,𓂀:1,,Gardiner's sign list order: 114,
𓂂,,Egyptian hieroglyphs,0,,D12: pupil,,,Gardiner's sign list order: 115,
𓂃,,Egyptian hieroglyphs,0,,D13: eyebrow,,,Gardiner's sign list order: 116,
𓂄,,Egyptian hieroglyphs,0,,D14: right part of eye of Horus,𓂀:1,,Gardiner's sign list order: 117,
𓂅,,Egyptian hieroglyphs,0,,D15: diagonal marking of eye of Horus,𓂀:1,,Gardiner's sign list order: 118,
𓂆,,Egyptian hieroglyphs,0,,D16: vertical marking of eye of Horus,𓂀:1,,Gardiner's sign list order: 119,
𓂇,,Egyptian hieroglyphs,0,,D17: diagonal and vertical markings of eye of Horus,𓂀:1,,Gardiner's sign list order: 120,
𓂈,,Egyptian hieroglyphs,0,,D18: ear,,,Gardiner's sign list order: 121,
𓂉,,Egyptian hieroglyphs,0,,"D19: nose, eye and cheek",,,Gardiner's sign list order: 122,
𓂊,,Egyptian hieroglyphs,0,,"D20: nose, eye and cheek (cursive)",,,Gardiner's sign list order: 123,
𓂋,,Egyptian hieroglyphs,0,,D21: mouth,,,Gardiner's sign list order: 124,
𓂌,,Egyptian hieroglyphs,0,,D22: mouth with two strokes,𓂋:1,,Gardiner's sign list order: 125,
𓂍,,Egyptian hieroglyphs,0,,D23: mouth with three strokes,𓂋:1,,Gardiner's sign list order: 126,
𓂎,,Egyptian hieroglyphs,0,,D24: upper lip with teeth,,,Gardiner's sign list order: 127,
𓂏,,Egyptian hieroglyphs,0,,D25: lips,,,Gardiner's sign list order: 128,
𓂐,,Egyptian hieroglyphs,0,,D26: liquid issuing from lips,,,Gardiner's sign list order: 129,
𓂑,,Egyptian hieroglyphs,0,,D27: breast,,,Gardiner's sign list order: 130,
𓂓,,Egyptian hieroglyphs,0,,D28: two arms upraised,,,Gardiner's sign list order: 131,
𓂔,,Egyptian hieroglyphs,0,,D29: combination of hieroglyphs D28 and R12,𓂔:1; 𓊾:1,,Gardiner's sign list order: 132,
𓂕,,Egyptian hieroglyphs,0,,D30: two arms upraised with tail,𓂓:1,,Gardiner's sign list order: 133,
𓂖,,Egyptian hieroglyphs,0,,D31: arms embracing club,𓂘:1,,Gardiner's sign list order: 134,
𓂘,,Egyptian hieroglyphs,0,,D32: arms embracing,,,Gardiner's sign list order: 135,
𓂙,,Egyptian hieroglyphs,0,,D33: arms rowing,,,Gardiner's sign list order: 136,
𓂚,,Egyptian hieroglyphs,0,,D34: arms,,,Gardiner's sign list order: 137,
𓂜,,Egyptian hieroglyphs,0,,D35: arms in gesture of negation,,,Gardiner's sign list order: 138,
𓂝,,Egyptian hieroglyphs,0,,D36: forearm (palm upwards),,,Gardiner's sign list order: 139,
𓂞,,Egyptian hieroglyphs,0,,D37: forearm with bread cone,𓂝:1,,Gardiner's sign list order: 140,
𓂟,,Egyptian hieroglyphs,0,,D38: forearm with rounded loaf,𓂝:1,,Gardiner's sign list order: 141,
𓂠,,Egyptian hieroglyphs,0,,D39: forearm with bowl,𓂝:1,,Gardiner's sign list order: 142,
𓂡,,Egyptian hieroglyphs,0,,D40: forearm with stick,𓂝:1,,Gardiner's sign list order: 143,
𓂢,,Egyptian hieroglyphs,0,,D41: forearm with palm down and bent upper arm,𓂣:1,,Gardiner's sign list order: 144,
𓂣,,Egyptian hieroglyphs,0,,D42: forearm with palm down and straight upper arm,𓂣:1,,Gardiner's sign list order: 145,
𓂤,,Egyptian hieroglyphs,0,,D43: forearm with flail,𓂝:1,,Gardiner's sign list order: 146,
𓂥,,Egyptian hieroglyphs,0,,D44: arm with sekhem scepter,𓂝:1,,Gardiner's sign list order: 147,
𓂦,,Egyptian hieroglyphs,0,,D45: arm with wand,,,Gardiner's sign list order: 148,
𓂧,,Egyptian hieroglyphs,0,,D46: hand,,,Gardiner's sign list order: 149,
𓂩,,Egyptian hieroglyphs,0,,D47: hand with palm up,,,Gardiner's sign list order: 150,
𓂪,,Egyptian hieroglyphs,0,,D48: hand without thumb,,,Gardiner's sign list order: 151,
