unicode_,name,script,diacritic,name_meaning,english_name,origin,transliteration,ordering,variants
𓅆,,Egyptian hieroglyphs,0,,G7: falcon on standard,𓊾:1,,Gardiner's sign list order: 267,
𓅉,,Egyptian hieroglyphs,0,,G8: falcon on collar of beads,𓅃:1,,Gardiner's sign list order: 268,
𓅊,,Egyptian hieroglyphs,0,,G9: falcon with sun on head,𓅃:1,,Gardiner's sign list order: 269,
𓅋,,Egyptian hieroglyphs,0,,G10: falcon in Sokar barque,𓅃:1,,Gardiner's sign list order: 270,
𓅌,,Egyptian hieroglyphs,0,,G11: image of falcon,,,Gardiner's sign list order: 271,
𓅎,,Egyptian hieroglyphs,0,,G12: combination of image of falcon and flagellum,,,Gardiner's sign list order: 272,
𓅏,,Egyptian hieroglyphs,0,,G13: image of falcon with two plumes,,,Gardiner's sign list order: 273,
𓅐,,Egyptian hieroglyphs,0,,G14: vulture,,,Gardiner's sign list order: 274,
𓅑,,Egyptian hieroglyphs,0,,G15: combination of vulture and flagellum,𓅐:1,,Gardiner's sign list order: 275,
𓅒,,Egyptian hieroglyphs,0,,G16: vulture and cobra each on a basket,𓅐:1,,Gardiner's sign list order: 276,
𓅓,,Egyptian hieroglyphs,0,,G17: owl,,,Gardiner's sign list order: 277,
𓅔,,Egyptian hieroglyphs,0,,G18: two owls,𓅓:1,,Gardiner's sign list order: 278,
𓅕,,Egyptian hieroglyphs,0,,G19: combination of owl and forearm with conical loaf,𓅖:1,,Gardiner's sign list order: 279,
𓅖,,Egyptian hieroglyphs,0,,G20: combination of owl and forearm,𓅓:1;𓂝:1,,Gardiner's sign list order: 280,
𓅘,,Egyptian hieroglyphs,0,,G21: guinea-fowl,,,Gardiner's sign list order: 281,
𓅙,,Egyptian hieroglyphs,0,,G22: hoopoe,,,Gardiner's sign list order: 282,
𓅚,,Egyptian hieroglyphs,0,,G23: lawping,,,Gardiner's sign list order: 283,
𓅛,,Egyptian hieroglyphs,0,,G24: lawping with twisted wings,𓅚:1,,Gardiner's sign list order: 284,
𓅜,,Egyptian hieroglyphs,0,,G25: northern bald ibis,,,Gardiner's sign list order: 285,
𓅝,,Egyptian hieroglyphs,0,,G26: sacred Ibis on standard,𓅜:1;𓊾:1,,Gardiner's sign list order: 286,
𓅟,,Egyptian hieroglyphs,0,,G27: flamingo,,,Gardiner's sign list order: 287,
𓅠,,Egyptian hieroglyphs,0,,G28: glossy ibis,,,Gardiner's sign list order: 288,
𓅡,,Egyptian hieroglyphs,0,,G29: saddle-billed stork,,,Gardiner's sign list order: 289,
𓅢,,Egyptian hieroglyphs,0,,G30: three saddle-billed storks,𓅡:1,,Gardiner's sign list order: 290,
𓅣,,Egyptian hieroglyphs,0,,G31: heron,,,Gardiner's sign list order: 291,
𓅤,,Egyptian hieroglyphs,0,,G32: heron on perch,𓅣:1,,Gardiner's sign list order: 292,
𓅥,,Egyptian hieroglyphs,0,,G33: cattle egret,,,Gardiner's sign list order: 293,
𓅦,,Egyptian hieroglyphs,0,,G34: ostrich,,,Gardiner's sign list order: 294,
𓅧,,Egyptian hieroglyphs,0,,G35: cormorant,,,Gardiner's sign list order: 295,
𓅨,,Egyptian hieroglyphs,0,,G36: swallow,,,Gardiner's sign list order: 296,
𓅪,,Egyptian hieroglyphs,0,,G37: sparrow,,,Gardiner's sign list order: 297,
𓅬,,Egyptian hieroglyphs,0,,G38: white-fronted goose,,,Gardiner's sign list order: 298,
𓅭,,Egyptian hieroglyphs,0,,G39: pintail,,,Gardiner's sign list order: 299,
𓅮,,Egyptian hieroglyphs,0,,G40: pintail flying,,,Gardiner's sign list order: 300,
𓅯,,Egyptian hieroglyphs,0,,G41: pintail alighting,,,Gardiner's sign list order: 301,
𓅰,,Egyptian hieroglyphs,0,,G42: widgeon,,,Gardiner's sign list order: 302,
𓅱,,Egyptian hieroglyphs,0,,G43: quail chick,,,Gardiner's sign list order: 303,
𓅳,,Egyptian hieroglyphs,0,,G44: two quail chicks,𓅱:1,,Gardiner's sign list order: 304,
𓅴,,Egyptian hieroglyphs,0,,G45: combination of quail chick and forearm,𓅱:1;𓂝:1,,Gardiner's sign list order: 305,
𓅶,,Egyptian hieroglyphs,0,,G46: combination of quail chick and sickle,𓅱:1;𓌳:1,,Gardiner's sign list order: 306,
𓅷,,Egyptian hieroglyphs,0,,G47: duckling,,,Gardiner's sign list order: 307,
𓅸,,Egyptian hieroglyphs,0,,G48: three ducklings in nest,,,Gardiner's sign list order: 308,
𓅹,,Egyptian hieroglyphs,0,,G49: three ducklings in pool,,,Gardiner's sign list order: 309,
𓅺,,Egyptian hieroglyphs,0,,G50: two plovers,,,Gardiner's sign list order: 310,
𓅻,,Egyptian hieroglyphs,0,,G51: bird pecking at fish,,,Gardiner's sign list order: 311,
𓅼,,Egyptian hieroglyphs,0,,G52: goose picking up grain,,,Gardiner's sign list order: 312,
𓅽,,Egyptian hieroglyphs,0,,G53: human-headed bird with bowl with smoke,,,Gardiner's sign list order: 313,
𓅾,,Egyptian hieroglyphs,0,,G54: plucked bird,,,Gardiner's sign list order: 314,
𓅿,,Egyptian hieroglyphs,0,,H1: head of pintail,,,Gardiner's sign list order: 315,
𓆀,,Egyptian hieroglyphs,0,,H2: head of crested bird,,,Gardiner's sign list order: 316,
𓆁,,Egyptian hieroglyphs,0,,H3: head of spoonbill,,,Gardiner's sign list order: 317,
𓆂,,Egyptian hieroglyphs,0,,H4: head of vulture,,,Gardiner's sign list order: 318,
𓆃,,Egyptian hieroglyphs,0,,H5: wing,,,Gardiner's sign list order: 319,
𓆄,,Egyptian hieroglyphs,0,,H6: feather,,,Gardiner's sign list order: 320,
𓆆,,Egyptian hieroglyphs,0,,H7: claw,,,Gardiner's sign list order: 321,
𓆇,,Egyptian hieroglyphs,0,,H8: egg,,,Gardiner's sign list order: 322,
𓆈,,Egyptian hieroglyphs,0,,I1: gecko,,,Gardiner's sign list order: 323,
𓆉,,Egyptian hieroglyphs,0,,I2: turtle,,,Gardiner's sign list order: 324,
𓆊,,Egyptian hieroglyphs,0,,I3: crocodile,,,Gardiner's sign list order: 325,
𓆋,,Egyptian hieroglyphs,0,,I4: crocodile,,,Gardiner's sign list order: 326,
𓆌,,Egyptian hieroglyphs,0,,I5: crocodile with curved tail,𓆊:1,,Gardiner's sign list order: 327,
𓆎,,Egyptian hieroglyphs,0,,I6: crocodile scales,,,Gardiner's sign list order: 328,
𓆏,,Egyptian hieroglyphs,0,,I7: frog,,,Gardiner's sign list order: 329,
𓆐,,Egyptian hieroglyphs,0,,I8: tadpole,,,Gardiner's sign list order: 330,
𓆑,,Egyptian hieroglyphs,0,,I9: horned viper,,,Gardiner's sign list order: 331,
𓆓,,Egyptian hieroglyphs,0,,I10: cobra,,,Gardiner's sign list order: 332,
𓆕,,Egyptian hieroglyphs,0,,I11: two cobras,𓆓:1,,Gardiner's sign list order: 333,
𓆗,,Egyptian hieroglyphs,0,,I12: erect cobra,,,Gardiner's sign list order: 334,
𓆘,,Egyptian hieroglyphs,0,,I13: erect cobra on basket,𓆗:1,,Gardiner's sign list order: 335,
𓆙,,Egyptian hieroglyphs,0,,I14: snake,,,Gardiner's sign list order: 336,
𓆚,,Egyptian hieroglyphs,0,,I15: snake,𓆙:1,,Gardiner's sign list order: 337,
𓆛,,Egyptian hieroglyphs,0,,K1: tilapia,,,Gardiner's sign list order: 338,
𓆜,,Egyptian hieroglyphs,0,,K2: barbel,,,Gardiner's sign list order: 339,
𓆝,,Egyptian hieroglyphs,0,,K3: mullet,,,Gardiner's sign list order: 340,
𓆞,,Egyptian hieroglyphs,0,,K4: elephant-snout fish,,,Gardiner's sign list order: 341,
𓆟,,Egyptian hieroglyphs,0,,K5: elephantfish (Petrocephalus bane),,,Gardiner's sign list order: 342,
𓆠,,Egyptian hieroglyphs,0,,K6: fish scale,,,Gardiner's sign list order: 343,
𓆡,,Egyptian hieroglyphs,0,,K7: puffer,,,Gardiner's sign list order: 344,
𓆢,,Egyptian hieroglyphs,0,,K8: catfish,,,Gardiner's sign list order: 345,
𓆣,,Egyptian hieroglyphs,0,,L1: dung beetle,,,Gardiner's sign list order: 346,
𓆤,,Egyptian hieroglyphs,0,,L2: bee,,,Gardiner's sign list order: 347,
𓆦,,Egyptian hieroglyphs,0,,L3: fly,,,Gardiner's sign list order: 348,
𓆧,,Egyptian hieroglyphs,0,,L4: locust,,,Gardiner's sign list order: 349,
𓆨,,Egyptian hieroglyphs,0,,L5: centipede,,,Gardiner's sign list order: 350,
𓆩,,Egyptian hieroglyphs,0,,L6: shell,,,Gardiner's sign list order: 351,
𓆫,,Egyptian hieroglyphs,0,,L7: scorpion,,,Gardiner's sign list order: 352,
𓆬,,Egyptian hieroglyphs,0,,L8,,,Gardiner's sign list order: 353,
𓆭,,Egyptian hieroglyphs,0,,M1: tree,,,Gardiner's sign list order: 354,
𓆰,,Egyptian hieroglyphs,0,,M2: plant,,,Gardiner's sign list order: 355,
𓆱,,Egyptian hieroglyphs,0,,M3: branch,,,Gardiner's sign list order: 356,
𓆳,,Egyptian hieroglyphs,0,,M4: palm branch,,,Gardiner's sign list order: 357,
𓆴,,Egyptian hieroglyphs,0,,M5: combination of palm branch and flat loaf,𓆳:1,,Gardiner's sign list order: 358,
𓆵,,Egyptian hieroglyphs,0,,M6: combination of palm branch and mouth,𓆳:1,,Gardiner's sign list order: 359,
𓆶,,Egyptian hieroglyphs,0,,M7: combination of palm branch and stool,𓆳:1,,Gardiner's sign list order: 360,
𓆷,,Egyptian hieroglyphs,0,,M8: pool with lotus flowers,,,Gardiner's sign list order: 361,
𓆸,,Egyptian hieroglyphs,0,,M9: lotus flower,,,Gardiner's sign list order: 362,
𓆹,,Egyptian hieroglyphs,0,,M10: lotus bud with straight stem,,,Gardiner's sign list order: 363,
𓆻,,Egyptian hieroglyphs,0,,M11: flower on long twisted stalk,,,Gardiner's sign list order: 364,
𓆼,,Egyptian hieroglyphs,0,,M12: one lotus plant,,,Gardiner's sign list order: 365,
𓇅,,Egyptian hieroglyphs,0,,M13: papyrus,,,Gardiner's sign list order: 366,
𓇆,,Egyptian hieroglyphs,0,,M14: combination of papyrus and cobra,𓇅:1,,Gardiner's sign list order: 367,
𓇇,,Egyptian hieroglyphs,0,,M15: clump of papyrus with buds,𓇅:1,,Gardiner's sign list order: 368,
𓇉,,Egyptian hieroglyphs,0,,M16: clump of papyrus,𓇅:1,,Gardiner's sign list order: 369,
𓇋,,Egyptian hieroglyphs,0,,M17: reed,,,Gardiner's sign list order: 370,
𓇍,,Egyptian hieroglyphs,0,,M18: combination of reed and legs walking,𓇋:1,,Gardiner's sign list order: 371,
𓇎,,Egyptian hieroglyphs,0,,M19: heaped conical cakes between reed and club,,,Gardiner's sign list order: 372,
𓇏,,Egyptian hieroglyphs,0,,M20: field of reeds,𓇋:1,,Gardiner's sign list order: 373,
𓇐,,Egyptian hieroglyphs,0,,M21: reeds with root,𓇋:1,,Gardiner's sign list order: 374,
𓇑,,Egyptian hieroglyphs,0,,M22: rush,,,Gardiner's sign list order: 375,
𓇓,,Egyptian hieroglyphs,0,,M23: sedge,𓇑:1,,Gardiner's sign list order: 376,
𓇔,,Egyptian hieroglyphs,0,,M24: combination of sedge and mouth,𓇑:1,,Gardiner's sign list order: 377,
𓇖,,Egyptian hieroglyphs,0,,M25: combination of flowering sedge and mouth,𓇑:1,,Gardiner's sign list order: 378,
𓇗,,Egyptian hieroglyphs,0,,M26: flowering,𓇑:1,,Gardiner's sign list order: 379,
𓇘,,Egyptian hieroglyphs,0,,M27: combination of flowering sedge and forearm,𓇑:1;𓂝:1,,Gardiner's sign list order: 380,
𓇙,,Egyptian hieroglyphs,0,,M28: combination of flowering sedge and hobble,𓇑:1,,Gardiner's sign list order: 381,
𓇛,,Egyptian hieroglyphs,0,,M29: seed-pod,,,Gardiner's sign list order: 382,
𓇜,,Egyptian hieroglyphs,0,,M30: root,,,Gardiner's sign list order: 383,
𓇝,,Egyptian hieroglyphs,0,,M31: rhizome,,,Gardiner's sign list order: 384,
𓇟,,Egyptian hieroglyphs,0,,M32: rhizome,,,Gardiner's sign list order: 385,
𓇠,,Egyptian hieroglyphs,0,,M33: 3 grains horizontally,,,Gardiner's sign list order: 386,
𓇣,,Egyptian hieroglyphs,0,,M34: ear of emmer,,,Gardiner's sign list order: 387,
𓇤,,Egyptian hieroglyphs,0,,M35: stack,,,Gardiner's sign list order: 388,
𓇥,,Egyptian hieroglyphs,0,,M36: bundle of flax,,,Gardiner's sign list order: 389,
𓇦,,Egyptian hieroglyphs,0,,M37: bundle of flax,,,Gardiner's sign list order: 390,
𓇧,,Egyptian hieroglyphs,0,,M38: wide bundle of flax,𓇦:1,,Gardiner's sign list order: 391,
𓇨,,Egyptian hieroglyphs,0,,M39: basket of fruit or grain,,,Gardiner's sign list order: 392,
𓇩,,Egyptian hieroglyphs,0,,M40: bundle of reeds,,,Gardiner's sign list order: 393,
𓇫,,Egyptian hieroglyphs,0,,M41: piece of wood,,,Gardiner's sign list order: 394,
𓇬,,Egyptian hieroglyphs,0,,M42: flower,,,Gardiner's sign list order: 395,
𓇭,,Egyptian hieroglyphs,0,,M43: vine on trellis,,,Gardiner's sign list order: 396,
𓇮,,Egyptian hieroglyphs,0,,M44: thorn,,,Gardiner's sign list order: 397,
𓇯,,Egyptian hieroglyphs,0,,N1: sky,,,Gardiner's sign list order: 398,
𓇰,,Egyptian hieroglyphs,0,,N2: sky with sceptre,𓇯:1,,Gardiner's sign list order: 399,
𓇱,,Egyptian hieroglyphs,0,,N3: sky with sceptre,𓇯:1,,Gardiner's sign list order: 400,
𓇲,,Egyptian hieroglyphs,0,,N4: sky with rain,𓇯:1,,Gardiner's sign list order: 401,
𓇳,,Egyptian hieroglyphs,0,,N5: sun,,,Gardiner's sign list order: 402,
𓇴,,Egyptian hieroglyphs,0,,N6: sun with uraeus,𓇳:1,,Gardiner's sign list order: 403,
𓇵,,Egyptian hieroglyphs,0,,N7: combination of sun and butcher's block,𓇳:1,,Gardiner's sign list order: 404,
𓇶,,Egyptian hieroglyphs,0,,N8: sunshine,𓇳:1,,Gardiner's sign list order: 405,
𓇷,,Egyptian hieroglyphs,0,,N9: moon with lower half obscured,,,Gardiner's sign list order: 406,
𓇸,,Egyptian hieroglyphs,0,,N10: moon with lower section obscured,,,Gardiner's sign list order: 407,
𓇹,,Egyptian hieroglyphs,0,,N11: crescent moon,,,Gardiner's sign list order: 408,
𓇺,,Egyptian hieroglyphs,0,,N12: crescent moon,𓇹:1,,Gardiner's sign list order: 409,
𓇻,,Egyptian hieroglyphs,0,,N13: combination of crescent moon and star,𓇹:1;𓇼:1,,Gardiner's sign list order: 410,
𓇼,,Egyptian hieroglyphs,0,,N14: star,,,Gardiner's sign list order: 411,
𓇽,,Egyptian hieroglyphs,0,,N15: star in circle,𓇼:1,,Gardiner's sign list order: 412,
𓇾,,Egyptian hieroglyphs,0,,N16: land with grains,𓇿:1,,Gardiner's sign list order: 413,
𓇿,,Egyptian hieroglyphs,0,,N17: land,,,Gardiner's sign list order: 414,
𓈀,,Egyptian hieroglyphs,0,,N18: sandy tract,𓇿:1,,Gardiner's sign list order: 415,
𓈃,,Egyptian hieroglyphs,0,,N19: two sandy tracts,𓈀:1,,Gardiner's sign list order: 416,
𓈄,,Egyptian hieroglyphs,0,,N20: tongue of land,,,Gardiner's sign list order: 417,
𓈅,,Egyptian hieroglyphs,0,,N21: short tongue of land,𓈄:1,,Gardiner's sign list order: 418,
𓈆,,Egyptian hieroglyphs,0,,N22: broad tongue of land,𓈄:1,,Gardiner's sign list order: 419,
𓈇,,Egyptian hieroglyphs,0,,N23: irrigation canal,,,Gardiner's sign list order: 420,
𓈈,,Egyptian hieroglyphs,0,,N24: irrigation canal system,,,Gardiner's sign list order: 421,
𓈉,,Egyptian hieroglyphs,0,,N25: three hills,,,Gardiner's sign list order: 422,
𓈋,,Egyptian hieroglyphs,0,,N26: two hills,,,Gardiner's sign list order: 423,
𓈌,,Egyptian hieroglyphs,0,,N27: sun over mountain,,,Gardiner's sign list order: 424,
𓈍,,Egyptian hieroglyphs,0,,N28: rays of sun over hill,,,Gardiner's sign list order: 425,
𓈎,,Egyptian hieroglyphs,0,,N29: slope of hill,,,Gardiner's sign list order: 426,
𓈏,,Egyptian hieroglyphs,0,,N30: mound of earth,,,Gardiner's sign list order: 427,
𓈐,,Egyptian hieroglyphs,0,,N31: road with shrubs,,,Gardiner's sign list order: 428,
𓈑,,Egyptian hieroglyphs,0,,N32: lump of clay,,,Gardiner's sign list order: 429,
𓈒,,Egyptian hieroglyphs,0,,N33: grain,,,Gardiner's sign list order: 430,
𓈔,,Egyptian hieroglyphs,0,,N34: ingot of metal,,,Gardiner's sign list order: 431,
𓈖,,Egyptian hieroglyphs,0,,N35: ripple of water,,,Gardiner's sign list order: 432,
𓈘,,Egyptian hieroglyphs,0,,N36: canal,,,Gardiner's sign list order: 433,
𓈙,,Egyptian hieroglyphs,0,,N37: pool,,,Gardiner's sign list order: 434,
𓈛,,Egyptian hieroglyphs,0,,N38: deep pool,,,Gardiner's sign list order: 435,
𓈜,,Egyptian hieroglyphs,0,,N39: pool with water,,,Gardiner's sign list order: 436,
𓈝,,Egyptian hieroglyphs,0,,N40: pool,𓈙:1;𓂻:1,,Gardiner's sign list order: 437,
𓈞,,Egyptian hieroglyphs,0,,N41: well with ripple of water,,,Gardiner's sign list order: 438,
𓈟,,Egyptian hieroglyphs,0,,N42: well with line of water,,,Gardiner's sign list order: 439,
𓈠,,Egyptian hieroglyphs,0,,"NL1: 1st Nome of Lower Egypt, Aneb-Hetch",,,Gardiner's sign list order: 440,
𓈡,,Egyptian hieroglyphs,0,,NL2: 2nd Nome of Lower Egypt,,,Gardiner's sign list order: 441,
𓈢,,Egyptian hieroglyphs,0,,"NL3: 3rd Nome of Lower Egypt, Wetjes-Hor",,,Gardiner's sign list order: 442,
𓈣,,Egyptian hieroglyphs,0,,NL4: 4th Nome of Lower Egypt,,,Gardiner's sign list order: 443,
𓈤,,Egyptian hieroglyphs,0,,NL5: 5th Nome of Lower Egypt,,,Gardiner's sign list order: 444,
𓈦,,Egyptian hieroglyphs,0,,NL6: 6th Nome of Lower Egypt,,,Gardiner's sign list order: 445,
𓈧,,Egyptian hieroglyphs,0,,NL7: 7th Nome of Lower Egypt,,,Gardiner's sign list order: 446,
𓈨,,Egyptian hieroglyphs,0,,NL8: 8th Nome of Lower Egypt,,,Gardiner's sign list order: 447,
𓈩,,Egyptian hieroglyphs,0,,NL9: 9th Nome of Lower Egypt,,,Gardiner's sign list order: 448,
𓈪,,Egyptian hieroglyphs,0,,NL10: 10th Nome of Lower Egypt,,,Gardiner's sign list order: 449,
𓈫,,Egyptian hieroglyphs,0,,NL11: 11th Nome of Lower Egypt,,,Gardiner's sign list order: 450,
𓈬,,Egyptian hieroglyphs,0,,NL12: 12th Nome of Lower Egypt,,,Gardiner's sign list order: 451,
𓈭,,Egyptian hieroglyphs,0,,NL13: 13th Nome of Lower Egypt,,,Gardiner's sign list order: 452,
𓈮,,Egyptian hieroglyphs,0,,NL14: 14th Nome of Lower Egypt,,,Gardiner's sign list order: 453,
𓈯,,Egyptian hieroglyphs,0,,NL15: 15th Nome of Lower Egypt,,,Gardiner's sign list order: 454,
𓈰,,Egyptian hieroglyphs,0,,NL16: 16th Nome of Lower Egypt,,,Gardiner's sign list order: 455,
𓈱,,Egyptian hieroglyphs,0,,NL17: 17th Nome of Lower Egypt,,,Gardiner's sign list order: 456,
𓈳,,Egyptian hieroglyphs,0,,NL18: 18th Nome of Lower Egypt,,,Gardiner's sign list order: 457,
𓈴,,Egyptian hieroglyphs,0,,NL19: 19th Nome of Lower Egypt,,,Gardiner's sign list order: 458,
𓈵,,Egyptian hieroglyphs,0,,NL20: 20th Nome of Lower Egypt,,,Gardiner's sign list order: 459,
𓈶,,Egyptian hieroglyphs,0,,"NU1: 1st Nome of Upper Egypt, Ta-Seti",,,Gardiner's sign list order: 460,
𓈷,,Egyptian hieroglyphs,0,,NU2: 2nd Nome of Upper Egypt,,,Gardiner's sign list order: 461,
𓈸,,Egyptian hieroglyphs,0,,"NU3: 3rd Nome of Upper Egypt, Nekhen",,,Gardiner's sign list order: 462,
𓈹,,Egyptian hieroglyphs,0,,"NU4: 4th Nome of Upper Egypt, Harawî",,,Gardiner's sign list order: 463,
𓈺,,Egyptian hieroglyphs,0,,NU5: 5th Nome of Upper Egypt,,,Gardiner's sign list order: 464,
𓈻,,Egyptian hieroglyphs,0,,NU6: 6th Nome of Upper Egypt,,,Gardiner's sign list order: 465,
𓈼,,Egyptian hieroglyphs,0,,NU7: 7th Nome of Upper Egypt,,,Gardiner's sign list order: 466,
𓈽,,Egyptian hieroglyphs,0,,NU8: 8th Nome of Upper Egypt,,,Gardiner's sign list order: 467,
𓈾,,Egyptian hieroglyphs,0,,NU9: 9th Nome of Upper Egypt,,,Gardiner's sign list order: 468,
𓈿,,Egyptian hieroglyphs,0,,NU10: 10th Nome of Upper Egypt,,,Gardiner's sign list order: 469,
𓉁,,Egyptian hieroglyphs,0,,NU11: 11th Nome of Upper Egypt,,,Gardiner's sign list order: 470,
𓉃,,Egyptian hieroglyphs,0,,NU12: 12th Nome of Upper Egypt,,,Gardiner's sign list order: 471,
𓉄,,Egyptian hieroglyphs,0,,NU13: 13th Nome of Upper Egypt,,,Gardiner's sign list order: 472,
𓉅,,Egyptian hieroglyphs,0,,NU14: 14th Nome of Upper Egypt,,,Gardiner's sign list order: 473,
𓉆,,Egyptian hieroglyphs,0,,NU15: 15th Nome of Upper Egypt,,,Gardiner's sign list order: 474,
𓉇,,Egyptian hieroglyphs,0,,NU16: 16th Nome of Upper Egypt,,,Gardiner's sign list order: 475,
𓉈,,Egyptian hieroglyphs,0,,NU17: 17th Nome of Upper Egypt,,,Gardiner's sign list order: 476,
𓉉,,Egyptian hieroglyphs,0,,NU18: 18th Nome of Upper Egypt,,,Gardiner's sign list order: 477,
𓉋,,Egyptian hieroglyphs,0,,NU19: 19th Nome of Upper Egypt,,,Gardiner's sign list order: 478,
𓉌,,Egyptian hieroglyphs,0,,NU20: 20th Nome of Upper Egypt,,,Gardiner's sign list order: 479,
𓉍,,Egyptian hieroglyphs,0,,NU21: 21st Nome of Upper Egypt,,,Gardiner's sign list order: 480,
𓉎,,Egyptian hieroglyphs,0,,NU22: 22nd Nome of Upper Egypt,,,Gardiner's sign list order: 481,
𓉐,,Egyptian hieroglyphs,0,,O1: house,,,Gardiner's sign list order: 482,
𓉒,,Egyptian hieroglyphs,0,,O2: combination of house and mace with round head,𓉐:1,,Gardiner's sign list order: 483,
𓉓,,Egyptian hieroglyphs,0,,"O3: combination of house, oar, tall loaf and beer jug",𓉐:1,,Gardiner's sign list order: 484,
𓉔,,Egyptian hieroglyphs,0,,O4: shelter,,,Gardiner's sign list order: 485,
𓉕,,Egyptian hieroglyphs,0,,O5: winding wall from upper-left corner,,,Gardiner's sign list order: 486,
𓉗,,Egyptian hieroglyphs,0,,O6: enclosure,,,Gardiner's sign list order: 487,
𓉞,,Egyptian hieroglyphs,0,,O7: combination of enclosure and flat loaf,𓉗:1,,Gardiner's sign list order: 488,
𓉟,,Egyptian hieroglyphs,0,,"O8: combination of enclosure, flat loaf and wooden column",𓉗:1,,Gardiner's sign list order: 489,
𓉠,,Egyptian hieroglyphs,0,,"O9: combination of enclosure, flat loaf and basket",𓉗:1,,Gardiner's sign list order: 490,
𓉡,,Egyptian hieroglyphs,0,,O10: combination of enclosure and falcon,𓉗:1,,Gardiner's sign list order: 491,
𓉥,,Egyptian hieroglyphs,0,,O11: palace,,,Gardiner's sign list order: 492,
𓉦,,Egyptian hieroglyphs,0,,O12: combination of palace and forearm,𓉥:1;𓂝:1,,Gardiner's sign list order: 493,
𓉧,,Egyptian hieroglyphs,0,,O13: battlemented enclosure,,,Gardiner's sign list order: 494,
𓉨,,Egyptian hieroglyphs,0,,O14: part of battlemented enclosure,,,Gardiner's sign list order: 495,
𓉩,,Egyptian hieroglyphs,0,,O15: enclosure with cup and flat loaf,,,Gardiner's sign list order: 496,
𓉪,,Egyptian hieroglyphs,0,,O16: gateway with serpents,,,Gardiner's sign list order: 497,
𓉫,,Egyptian hieroglyphs,0,,O17: open gateway with serpents,,,Gardiner's sign list order: 498,
𓉬,,Egyptian hieroglyphs,0,,O18: shrine in profile,,,Gardiner's sign list order: 499,
𓉭,,Egyptian hieroglyphs,0,,O19: shrine with fence,𓉬:1,,Gardiner's sign list order: 500,
𓉯,,Egyptian hieroglyphs,0,,O20: shrine,,,Gardiner's sign list order: 501,
𓉱,,Egyptian hieroglyphs,0,,O21: façade of shrine,,,Gardiner's sign list order: 502,
𓉲,,Egyptian hieroglyphs,0,,O22: booth with pole,,,Gardiner's sign list order: 503,
𓉳,,Egyptian hieroglyphs,0,,O23: double platform,,,Gardiner's sign list order: 504,
𓉴,,Egyptian hieroglyphs,0,,O24: pyramid,,,Gardiner's sign list order: 505,
𓉶,,Egyptian hieroglyphs,0,,O25: obelisk,,,Gardiner's sign list order: 506,
𓉸,,Egyptian hieroglyphs,0,,O26: stela,,,Gardiner's sign list order: 507,
𓉹,,Egyptian hieroglyphs,0,,O27: hall of columns,𓉺:1,,Gardiner's sign list order: 508,
𓉺,,Egyptian hieroglyphs,0,,O28: column,,,Gardiner's sign list order: 509,
𓉻,,Egyptian hieroglyphs,0,,O29: horizontal wooden column,,,Gardiner's sign list order: 510,
𓉽,,Egyptian hieroglyphs,0,,O30: support,,,Gardiner's sign list order: 511,
𓉿,,Egyptian hieroglyphs,0,,O31: door,,,Gardiner's sign list order: 512,
𓊀,,Egyptian hieroglyphs,0,,O32: gateway,,,Gardiner's sign list order: 513,
𓊁,,Egyptian hieroglyphs,0,,O33: façade of palace,,,Gardiner's sign list order: 514,
𓊃,,Egyptian hieroglyphs,0,,O34: door bolt,,,Gardiner's sign list order: 515,
𓊄,,Egyptian hieroglyphs,0,,O35: combination of bolt and legs,𓊃:1;𓂻:1,,Gardiner's sign list order: 516,
𓊅,,Egyptian hieroglyphs,0,,O36: wall,,,Gardiner's sign list order: 517,
𓊊,,Egyptian hieroglyphs,0,,O37: falling wall,𓊅:1,,Gardiner's sign list order: 518,
𓊋,,Egyptian hieroglyphs,0,,O38: corner of wall,,,Gardiner's sign list order: 519,
𓊌,,Egyptian hieroglyphs,0,,O39: stone,,,Gardiner's sign list order: 520,
𓊍,,Egyptian hieroglyphs,0,,O40: stair single,,,Gardiner's sign list order: 521,
𓊎,,Egyptian hieroglyphs,0,,O41: double stairway,𓊍:1,,Gardiner's sign list order: 522,
𓊏,,Egyptian hieroglyphs,0,,O42: fence,,,Gardiner's sign list order: 523,
𓊐,,Egyptian hieroglyphs,0,,O43: low fence,,,Gardiner's sign list order: 524,
𓊑,,Egyptian hieroglyphs,0,,O44: emblem of Min,,,Gardiner's sign list order: 525,
𓊒,,Egyptian hieroglyphs,0,,O45: domed building,,,Gardiner's sign list order: 526,
𓊓,,Egyptian hieroglyphs,0,,O46: domed building,,,Gardiner's sign list order: 527,
𓊔,,Egyptian hieroglyphs,0,,O47: enclosed mound,,,Gardiner's sign list order: 528,
𓊕,,Egyptian hieroglyphs,0,,O48: enclosed mound,,,Gardiner's sign list order: 529,
𓊖,,Egyptian hieroglyphs,0,,O49: village,,,Gardiner's sign list order: 530,
𓊗,,Egyptian hieroglyphs,0,,O50: threshing floor,,,Gardiner's sign list order: 531,
𓊚,,Egyptian hieroglyphs,0,,O51: pile of grain,,,Gardiner's sign list order: 532,
𓊛,,Egyptian hieroglyphs,0,,P1: boat,,,Gardiner's sign list order: 533,
𓊝,,Egyptian hieroglyphs,0,,P2: ship under sail,,,Gardiner's sign list order: 534,
